topicName,roleName,activity
TEMPERATURE_SYSTEM_REPORT,TEMPERATURE_SYSTEM_SENSOR,PUBLISH
TEMPERATURE_SYSTEM_REPORT,TOP_LEVEL_MANAGER,SUBSCRIBE
TEMPERATURE_SYSTEM_REPORT,TOP_LEVEL_OBSERVER,SUBSCRIBE
TEMPERATURE_SYSTEM_REPORT,WAREHOUSE_SCOPE_OBSERVER,SUBSCRIBE
TEMPERATURE_SYSTEM_CONTROL,TOP_LEVEL_MANAGER,PUBLISH
TEMPERATURE_SYSTEM_CONTROL,TEMPERATURE_SYSTEM_SENSOR,SUBSCRIBE
HUMIDITY_SYSTEM_REPORT,HUMIDITY_SYSTEM_SENSOR,PUBLISH
HUMIDITY_SYSTEM_REPORT,TOP_LEVEL_MANAGER,SUBSCRIBE
HUMIDITY_SYSTEM_REPORT,TOP_LEVEL_OBSERVER,SUBSCRIBE
HUMIDITY_SYSTEM_REPORT,WAREHOUSE_SCOPE_OBSERVER,SUBSCRIBE
HUMIDITY_SYSTEM_CONTROL,TOP_LEVEL_MANAGER,PUBLISH
HUMIDITY_SYSTEM_CONTROL,HUMIDITY_SYSTEM_SENSOR,SUBSCRIBE
SIDE_TEMPERATURE_REPORT,SIDE_TEMPERATURE_SENSOR,PUBLISH
SIDE_TEMPERATURE_REPORT,TOP_LEVEL_MANAGER,SUBSCRIBE
SIDE_TEMPERATURE_REPORT,TOP_LEVEL_OBSERVER,SUBSCRIBE
SIDE_TEMPERATURE_REPORT,WAREHOUSE_SCOPE_OBSERVER,SUBSCRIBE
SIDE_HUMIDITY_REPORT,SIDE_HUMIDITY_SENSOR,PUBLISH
SIDE_HUMIDITY_REPORT,TOP_LEVEL_MANAGER,SUBSCRIBE
SIDE_HUMIDITY_REPORT,TOP_LEVEL_OBSERVER,SUBSCRIBE
SIDE_HUMIDITY_REPORT,WAREHOUSE_SCOPE_OBSERVER,SUBSCRIBE
CONTAINER_STATUS_REPORT,CONTAINER_STATUS_SENSOR,PUBLISH
CONTAINER_STATUS_REPORT,TOP_LEVEL_MANAGER,SUBSCRIBE
CONTAINER_STATUS_REPORT,TOP_LEVEL_OBSERVER,SUBSCRIBE
CONTAINER_STATUS_REPORT,WAREHOUSE_SCOPE_OBSERVER,SUBSCRIBE
CONTAINER_STATUS_REPORT,CONTAINER_SCOPE_OBSERVER,SUBSCRIBE
SENSOR_CONNECTED_REPORT,N/A,PUBLISH
SENSOR_CONNECTED_REPORT,TOP_LEVEL_MANAGER,SUBSCRIBE
SENSOR_CONNECTED_REPORT,TOP_LEVEL_OBSERVER,SUBSCRIBE
SENSOR_CONNECTED_REPORT,WAREHOUSE_SCOPE_OBSERVER,SUBSCRIBE
SENSOR_CONNECTED_REPORT,CONTAINER_SCOPE_OBSERVER,SUBSCRIBE
SENSOR_DISCONNECTED_REPORT,N/A,PUBLISH
SENSOR_DISCONNECTED_REPORT,TOP_LEVEL_MANAGER,SUBSCRIBE
SENSOR_DISCONNECTED_REPORT,TOP_LEVEL_OBSERVER,SUBSCRIBE
SENSOR_DISCONNECTED_REPORT,WAREHOUSE_SCOPE_OBSERVER,SUBSCRIBE
SENSOR_DISCONNECTED_REPORT,CONTAINER_SCOPE_OBSERVER,SUBSCRIBE
